p-001,Super Light,LCK,LIT-2066,New,12 months,1000000.0,Suit for night
p-002,Air Filter,K&N,AF-5678,New,24 months,500000.0,Reusable air filter
p-003,Spark Plug,NGK,SP-9101,New,18 months,150000.0,Standard spark plug
p-004,Battery,Exide,BAT-2345,Used,6 months,800000.0,Good condition car battery
p-005,Wheels,MCK,W-1234,New,12 months,1500000.0,Good condition
p-006,Brake Pads,Bosch,BP-7890,New,12 months,600000.0,High-performance brake pads
p-007,Headlight Assembly,Philips,HL-9987,New,24 months,2500000.0,Bright LED headlights
p-008,Radiator,Denso,RAD-1122,New,18 months,1200000.0,Efficient cooling
p-009,Alternator,Bosch,ALT-5543,Used,6 months,2000000.0,Reconditioned alternator
p-010,Exhaust Pipe,MufflerPro,EP-7001,New,24 months,1700000.0,Enhanced exhaust sound
p-011,Fuel Pump,Delphi,FP-4455,New,18 months,1300000.0,Durable fuel pump
p-012,Suspension Kit,Monroe,SUS-9008,New,12 months,3500000.0,Smooth ride experience
p-013,Transmission Fluid,Mobil,TF-2200,New,12 months,800000.0,Synthetic fluid
p-014,Spark Plug,Winspark,WP-3333,New,24 months,170000.0,Long-lasting spark plug
p-015,Tire,Michelin,T-4555,New,36 months,2500000.0,High grip tires
p-016,Windshield,Winglass,WS-2342,New,12 months,3000000.0,Clear and strong windshield
p-017,Clutch Plate,Sachs,CP-6789,New,18 months,1800000.0,Heavy-duty clutch
p-018,Oil Filter,Mann,OFL-7800,New,12 months,300000.0,High filtration efficiency
p-019,Car.Car Battery,Amaron,CB-5674,New,18 months,900000.0,Maintenance-free battery
p-020,Steering Wheel,Gripwell,SW-9088,New,24 months,1100000.0,Comfortable grip
p-021,Timing Belt,Gates,TB-5501,New,36 months,750000.0,Durable timing belt
p-022,Door Handle,Dorman,DH-1122,New,12 months,350000.0,Sleek design
p-023,Fuel Injector,Bosch,FI-7890,New,24 months,2000000.0,Improved fuel efficiency
p-024,Brake Disc,TRW,BD-6666,New,12 months,850000.0,Heat resistant
p-025,Alternator Belt,Bando,AB-3300,New,18 months,450000.0,Quiet operation
p-026,Air Conditioning Compressor,Denso,AC-1234,Used,6 months,1500000.0,Reconditioned compressor
p-027,Engine Mount,Anchor,EM-4500,New,24 months,1200000.0,Reduces vibrations
p-028,Rearview Mirror,Autoview,RVM-2222,New,12 months,500000.0,Anti-glare feature
p-029,Fog Lights,Hella,FL-6701,New,12 months,600000.0,High visibility in fog
p-030,Seat Covers,Leathercraft,SC-9087,New,36 months,2200000.0,Premium leather covers
